ride_id,driver_id,pickup_time,drop_time,pickup_location,drop_location,fare_amount,distance_km,rating
R001,D101,2025-02-01 08:15:00,2025-02-01 08:35:00,T Nagar,Velachery,250,8.5,4.5
R002,D102,2025-02-01 09:10:00,2025-02-01 09:40:00,Anna Nagar,Adyar,320,10.2,4.7
R003,D103,2025-02-01 18:20:00,2025-02-01 18:50:00,T Nagar,OMR,450,15.3,4.2
R004,D101,2025-02-01 19:05:00,2025-02-01 19:25:00,Velachery,T Nagar,200,7.8,4.8
R005,D104,2025-02-02 07:45:00,2025-02-02 08:05:00,Adyar,Anna Nagar,220,6.9,4.3
R006,D105,2025-02-02 08:30:00,2025-02-02 08:55:00,OMR,T Nagar,380,12.5,4.6
R007,D102,2025-02-02 17:10:00,2025-02-02 17:35:00,T Nagar,Velachery,260,9.1,4.1
R008,D103,2025-02-02 20:00:00,2025-02-02 20:25:00,Anna Nagar,Adyar,310,11.0,4.4
R009,D104,2025-02-03 08:00:00,2025-02-03 08:30:00,T Nagar,OMR,470,16.2,4.9
R010,D105,2025-02-03 21:15:00,2025-02-03 21:45:00,Velachery,Anna Nagar,340,13.4,4.5
R011,D101,2025-02-03 18:30:00,2025-02-03 19:00:00,OMR,Adyar,410,14.7,4.6
R012,D102,2025-02-04 09:00:00,2025-02-04 09:25:00,T Nagar,Velachery,255,8.9,4.2
R013,D103,2025-02-04 19:10:00,2025-02-04 19:40:00,Anna Nagar,T Nagar,290,10.8,4.7
R014,D104,2025-02-04 07:30:00,2025-02-04 07:55:00,Adyar,OMR,360,12.3,4.3
R015,D105,2025-02-05 08:20:00,2025-02-05 08:45:00,T Nagar,Anna Nagar,275,9.5,4.4
R016,D101,2025-02-05 17:45:00,2025-02-05 18:15:00,Velachery,OMR,390,13.7,4.6
R017,D102,2025-02-05 20:30:00,2025-02-05 21:00:00,OMR,T Nagar,420,15.1,4.8
R018,D103,2025-02-06 08:10:00,2025-02-06 08:35:00,T Nagar,Adyar,265,9.0,4.3
R019,D104,2025-02-06 18:00:00,2025-02-06 18:30:00,Anna Nagar,Velachery,300,10.4,4.5
R020,D105,2025-02-06 21:00:00,2025-02-06 21:30:00,Adyar,T Nagar,330,11.9,4.7
